game_id,game_duration,champion,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageSelfMitigated,timeCCingOthers,totalDamageTaken,goldEarned,goldSpent,totalTimeCrowdControlDealt
3327465452,1284,21,True,9,9,19,4,2,2,215,2,0,0,0,95687,4654,90059,973,15122,1144,13045,932,4289,13144,6,26367,14395,13300,163
3327409284,1325,498,False,23,9,12,5,3,7,203,7,3,0,0,131925,1086,130247,591,44949,290,44132,526,7827,19527,12,32680,17157,14500,12
3327377005,882,18,False,10,7,14,4,3,3,180,2,1,0,0,38385,8615,29301,468,15471,2909,12094,468,2613,5949,3,12633,10305,9975,50
3327371947,985,51,True,11,8,17,3,2,4,172,1,0,0,0,64778,11511,48688,4578,20722,3186,17077,458,2343,7400,28,13962,11177,9100,91
3327306788,1344,236,False,10,9,17,4,2,3,319,2,0,0,0,126118,6349,118158,1610,33556,2838,29107,1610,6851,14670,3,29068,15323,11250,78
3327320552,1514,69,False,7,11,23,5,1,1,310,0,0,0,0,108605,105136,2974,495,27040,26497,237,305,9491,22152,64,37646,14559,12935,722
3327141965,952,36,True,6,7,28,2,1,1,149,0,0,0,0,48858,32677,15316,864,19265,12562,5937,764,5810,20124,11,26289,10913,9050,81
3327067976,1242,4,False,6,8,24,2,2,2,233,1,0,0,0,118187,103108,12756,2322,33111,30003,2560,547,3376,8421,39,23132,13172,11935,91
3327026170,1062,429,False,8,8,9,3,3,3,257,2,1,0,0,78691,4345,69237,5109,16144,1008,14925,210,4781,11291,12,23560,11410,10650,92
3326695097,771,18,False,8,9,15,2,2,3,203,1,0,0,0,45497,13048,32269,179,15541,3222,12139,179,1756,5922,2,14058,10119,9175,65
3326071471,1185,103,True,23,7,24,4,3,6,219,2,2,0,0,97989,67242,5064,25681,32843,22766,1792,8285,9184,12909,37,21959,15492,13900,182
3326007220,1039,18,True,19,7,14,5,4,5,158,5,3,1,0,114289,30626,83219,443,35931,7456,28152,322,5334,8469,5,17870,13866,11800,71
3325994236,783,126,True,20,6,24,5,4,5,168,3,3,1,0,48055,2949,44627,478,25935,2214,23342,378,3387,8789,6,14667,12300,10800,24
3326020314,773,127,True,5,5,21,2,1,1,198,0,0,0,0,45504,40607,4119,777,12596,10692,1127,777,2347,6042,40,12520,9091,7450,204
3324828829,700,268,True,6,5,15,2,1,2,164,0,0,0,0,26728,22828,3361,538,12997,11327,1132,538,2034,4445,11,10933,8304,6850,68
3324777682,911,10,False,3,8,9,0,1,0,207,0,0,0,0,39280,24570,14365,345,8859,6037,2476,345,5843,7537,6,17013,8854,8550,73
3324360455,1166,203,True,12,12,23,3,2,4,149,2,0,0,0,65915,9634,55931,349,21682,4793,16633,256,8075,10164,3,23136,13414,12050,35
3324295272,1369,112,False,17,10,19,5,3,5,237,5,1,0,0,146712,135157,8629,2925,39220,37348,981,890,827,14218,26,21293,15952,14950,445
3324273548,1246,111,False,2,15,22,0,1,0,115,0,0,0,0,34088,26201,7587,300,13198,9937,3025,235,3693,51636,74,36360,10407,9500,396
3324280033,1162,74,False,8,10,23,3,2,3,199,2,0,0,0,91523,81392,6120,4010,47204,40961,2284,3958,1109,7497,40,18507,12046,10650,167
3323648890,1430,145,False,14,12,19,2,2,5,269,3,0,0,0,137162,21346,113499,2316,39861,10143,27804,1913,5639,17070,0,31859,15870,15850,13
3323617200,867,99,False,8,5,18,3,2,3,281,1,0,0,0,55651,50671,4849,130,22449,21621,733,94,720,6944,38,11661,9678,8985,107
3323613537,1017,7,False,11,8,22,4,2,3,289,1,0,0,0,63327,52189,10476,661,25399,22579,2261,557,4143,10029,15,18616,11096,10950,26
3322534417,1207,85,True,6,10,24,3,2,1,207,1,0,0,0,50352,41925,7544,882,17947,15848,1457,642,642,15799,25,17924,12293,11750,33
3322444844,1069,43,False,8,8,31,2,2,3,252,2,0,0,0,51103,43230,4813,3059,21847,20503,834,509,1939,12130,24,16453,11871,11550,170
3322389650,1297,76,False,8,15,33,2,1,1,122,0,0,0,0,57659,47760,8107,1791,26307,23175,1481,1650,4249,13199,0,31055,13082,11635,0
3322377847,629,15,True,8,3,18,4,2,2,254,1,0,0,0,43981,0,43717,263,11434,0,11170,263,1698,3465,0,8589,8707,6825,0
3322413443,1020,10,False,3,12,14,0,1,0,219,0,0,0,0,57540,34533,20317,2689,9622,6211,3148,261,5111,7733,8,23589,9779,9300,70
3321709132,1267,105,True,11,12,18,2,1,4,152,0,0,0,0,51643,36340,9800,5503,34162,27612,5537,1013,4656,18656,14,26664,13239,11535,63
3321657814,944,21,True,16,8,22,4,3,4,117,3,2,0,0,109177,5002,102834,1340,44323,1354,41627,1340,1271,7640,14,18464,14740,12400,196
3321673983,844,61,True,1,3,14,0,1,0,290,0,0,0,0,61185,54219,6636,330,19120,18149,640,330,389,4122,24,6969,8854,6850,249
3319975531,1525,4,False,5,10,21,2,2,1,285,1,0,0,0,93623,85196,7239,1187,27444,25345,1011,1087,3309,12237,40,31659,15070,13750,97
3319972480,871,131,True,5,7,15,2,2,1,151,1,0,0,0,49356,44140,4795,420,14019,12804,794,420,2961,13102,3,16595,9502,7650,22
3319240325,754,145,False,3,8,7,0,1,0,138,0,0,0,0,28491,3158,24830,502,10106,2246,7413,446,1082,6160,0,12026,7180,7110,0
3319186433,1086,29,True,5,8,20,0,1,0,177,0,0,0,0,51152,4809,40760,5582,19678,1043,14745,3889,3123,7285,18,18656,10992,8450,215
3319153720,854,5,True,6,8,11,2,2,2,110,1,0,0,0,29613,743,27552,1318,10940,590,9967,382,4082,11755,13,18126,9246,7858,62
3317039198,1047,268,False,4,11,19,2,2,1,155,1,0,0,0,75852,70322,5234,295,29945,28813,836,295,1379,8886,9,18767,10374,9850,109
3317043056,1877,35,False,13,15,21,3,3,4,245,2,1,0,0,76992,50075,25212,1704,27593,18543,7545,1504,9500,27762,44,40459,17492,17183,432
3316998024,1578,523,False,12,16,19,2,1,2,158,0,0,0,0,157272,622,155395,1254,35906,496,34205,1204,6012,14539,19,34341,17737,16600,134
3316994857,985,7,True,5,7,18,3,2,1,130,1,0,0,0,35571,27521,7682,368,16529,15072,1209,247,2373,9526,8,14537,9808,7800,12
3315739942,917,516,True,3,9,16,2,1,1,126,0,0,0,0,39753,22094,17167,491,9529,6071,3045,411,1001,26434,27,24392,8975,8200,186
3315267424,1157,31,True,8,9,21,2,2,2,141,1,0,0,0,53172,37898,8435,6838,21706,14864,2333,4507,7937,39501,103,41803,11996,10350,349
3315283868,978,32,True,8,8,21,2,2,2,166,2,0,0,0,32625,25370,4961,2292,14212,9998,2002,2211,2044,26848,30,23300,10459,8600,73
3315260309,1055,18,True,8,9,18,4,2,2,269,1,0,0,0,78669,22405,55891,372,20246,4753,15173,320,1580,7629,2,17505,12335,10650,7
3315226456,1186,90,True,2,9,9,0,1,0,213,0,0,0,0,80111,73974,5790,346,17111,16617,354,139,1291,8986,71,18245,11424,10100,207
3314206161,1253,18,True,11,16,14,2,2,2,115,1,0,0,0,62331,15338,46487,505,23103,3005,19676,421,3367,18108,2,25559,13153,12170,13
3314212232,1024,25,False,4,11,23,2,1,1,187,0,0,0,0,45835,38784,5815,1235,14531,11643,1653,1235,2888,12423,55,20907,10162,8800,82
3314128595,1117,51,False,7,7,27,3,2,1,186,1,0,0,0,62363,1113,60647,603,27016,1113,25300,603,3079,8731,48,18331,12327,12150,86
